state_id,w2_pos_30_q1_f,w2_pos_30_q1_m,w2_pos_30_q2_f,w2_pos_30_q2_m,w2_pos_30_q3_f,w2_pos_30_q3_m,w2_pos_30_q4_f,w2_pos_30_q4_m,w2_pos_30_q5_f,w2_pos_30_q5_m,w2_pos_30_var_q1_f,w2_pos_30_var_q1_m,w2_pos_30_var_q2_f,w2_pos_30_var_q2_m,w2_pos_30_var_q3_f,w2_pos_30_var_q3_m,w2_pos_30_var_q4_f,w2_pos_30_var_q4_m,w2_pos_30_var_q5_f,w2_pos_30_var_q5_m,w2_pos_30_q1_f_sp,w2_pos_30_q1_m_sp,w2_pos_30_q2_f_sp,w2_pos_30_q2_m_sp,w2_pos_30_q3_f_sp,w2_pos_30_q3_m_sp,w2_pos_30_q4_f_sp,w2_pos_30_q4_m_sp,w2_pos_30_q5_f_sp,w2_pos_30_q5_m_sp,w2_pos_30_var_q1_f_sp,w2_pos_30_var_q1_m_sp,w2_pos_30_var_q2_f_sp,w2_pos_30_var_q2_m_sp,w2_pos_30_var_q3_f_sp,w2_pos_30_var_q3_m_sp,w2_pos_30_var_q4_f_sp,w2_pos_30_var_q4_m_sp,w2_pos_30_var_q5_f_sp,w2_pos_30_var_q5_m_sp,w2_pos_30_q1_f_tp,w2_pos_30_q1_m_tp,w2_pos_30_q2_f_tp,w2_pos_30_q2_m_tp,w2_pos_30_q3_f_tp,w2_pos_30_q3_m_tp,w2_pos_30_q4_f_tp,w2_pos_30_q4_m_tp,w2_pos_30_q5_f_tp,w2_pos_30_q5_m_tp,w2_pos_30_var_q1_f_tp,w2_pos_30_var_q1_m_tp,w2_pos_30_var_q2_f_tp,w2_pos_30_var_q2_m_tp,w2_pos_30_var_q3_f_tp,w2_pos_30_var_q3_m_tp,w2_pos_30_var_q4_f_tp,w2_pos_30_var_q4_m_tp,w2_pos_30_var_q5_f_tp,w2_pos_30_var_q5_m_tp,pop2000,Bj_p25_czkir26_f_cc2,Bj_p25_czkir26_m_cc2,cs_race_bla,cs_race_theil_2000,cs00_seg_inc_pov25,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,eitc_exposure,tax_st_diff_top20,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_elf_ind_man,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,crime_violent,cs_fam_wkidsinglemom,cs_race_bla_st,cs00_seg_inc_pov25_st,cs_fam_wkidsinglemom_st,e_rank_b_kir26_f_p25,e_rank_b_kir26_m_p25
Alabama,0.7106977845859888,0.6683133929383311,0.7408950788003859,0.7494182734990864,0.7707576175733614,0.8300283980220361,0.7963080245309869,0.8603671134980166,0.8088894386147678,0.8730921782526964,1.682209219539954e-4,1.8183150359155772e-4,1.9263614616683088e-4,1.860707913417978e-4,2.3771814746420495e-4,1.8074081036883687e-4,2.3392578125039292e-4,1.7501701599106442e-4,3.3816862889434336e-4,0.00024773024462236435,0.7225986312313273,0.6618795807424949,0.7619092601357323,0.7311750377692768,0.7725302791315607,0.7946053284896254,0.8167482034937484,0.8204503267682951,0.7998468797816675,0.8176905476763623,2.260923411323415e-4,2.518073443069738e-4,3.8841491196543753e-4,4.004952861522046e-4,0.001165145529610432,9.996670931426677e-4,0.002684102869377655,0.0027944491459557397,0.005795486495509571,0.004596018215924971,0.6665538659707015,0.6904022245568413,0.7126141607806212,0.772634990062194,0.7673124865268649,0.8407997690269725,0.7950505630691254,0.8639241878362736,0.8090802383665746,0.8755333100595606,8.643565117783123e-4,8.248907555116108e-4,4.6536740130163163e-4,3.9951738572558613e-4,3.198833671943016e-4,2.2817192879425775e-4,2.523681382345042e-4,1.8435298405888468e-4,3.4931256235956815e-4,2.4916748200021015e-4,4226142,-0.2083201620942279,-0.37502857718195487,0.2532281242301059,0.27815432240757176,0.07292970829840502,0.29077226909507303,33726.41196725146,0.5098554789845846,12.946285649694355,0,0,17.25095855147938,-11.762776039062837,-0.001517399943605669,0.015380458186943363,3526.9667764545065,-0.04375619827223506,0.1806756565790217,0.3302569216644424,0.016582973310719014,0.015674816416165062,0.019875075715633905,-0.9014342071116366,0.0018349365114689142,0.24922732143649928,1.3202280824013202,-0.18354457588352685,0.8332764084842582,38.80006942625662,42.859543125229344
Alaska,0.6854736097051732,0.7298771230818619,0.7235599483113128,0.7734865186352899,0.7453557499385337,0.8397342783938305,0.758866392430008,0.8557431946276114,0.7916088807080768,0.8716016968111955,0.0027162545840763662,0.0026127724124447773,0.0017544898812550502,0.0015888840367444482,0.001658443897082162,0.001184453529219578,0.0011170639987495724,0.0012665598098194042,0.0010664704281741356,8.53267734432869e-4,0.7074202344569532,0.7351032330626857,0.7630884321990936,0.7707661856456586,0.7730555461442473,0.8488223786304988,0.7563554749990564,0.818077282827687,0.7577143667605625,0.8005499685058939,0.0028584591297258206,0.0034587382572860478,0.0021852316571522516,0.002410291433131153,0.002514280438753522,0.0022388015623332172,0.002392009428493831,0.0019615282156332163,0.004502380234658085,0.0029861274489495536,0.6550576614099406,0.7156115270878547,0.695113336849282,0.7793272522489466,0.7418321924231743,0.8387598819212322,0.7568933486239348,0.8677773578698963,0.7937614300322577,0.8761113400087472,0.004122816734792463,0.002782243931803952,0.002813182120685311,0.0031805309906541425,0.0019613282717850875,0.0014278444310131169,0.001408101411193794,0.0011075859827552241,0.0010863938603903405,8.340506363517071e-4,626932,0.013499456080468014,-0.7983456271964606,0.03361289521070132,0.0883596336920639,0.05726138233580627,0.47578106226726347,39350.136407742786,0.33937949815407414,7.9246605227775335,0,0,19.495021427343186,-6.931141512647771,0.04484293946509542,0.01675353670632353,2816.871086073157,-0.19139943752202407,0.03176852307303488,0.5319993175839822,0.025355057104536696,0.02855960132714027,0.059299711428163183,0,0.0027124539800962464,0.19496935129428708,-0.8663904269576126,-0.7126979327414138,-0.6559743607576579,44.77785971309723,51.530127431134204
Arizona,0.6960825147763544,0.7097202685519738,0.7376796437690099,0.7652559791539234,0.7509462062423521,0.8104687559384817,0.7682592536072508,0.8520870717781974,0.7861074303515823,0.8510756170172901,1.0275757927338491e-4,9.685293945164571e-5,7.988267412849789e-5,6.429715574048306e-5,7.65021298778195e-5,5.718919058003983e-5,8.240536511752673e-5,5.4830316052000294e-5,1.8388081445898204e-4,1.1284202698203088e-4,0.6947861683285633,0.7010732966648943,0.744678543964054,0.7516160492056094,0.7698200293144319,0.7983292485844294,0.7750935704949765,0.8175859005557927,0.7980441724461935,0.8256117068646736,1.5418849995596327e-4,1.570412748809294e-4,2.0024031276105723e-4,1.627329984930292e-4,3.381016045143196e-4,2.9002224000850084e-4,8.67703111650306e-4,7.694632675960929e-4,0.001208997515441474,0.0010482856896129873,0.7004227175864912,0.7308943947718941,0.7299879921467611,0.7792768525579973,0.7455025722610271,0.814921089117046,0.7676759409880571,0.8556628355011707,0.7861613447283243,0.8526844647138909,3.055805316910052e-4,2.708132973438899e-4,1.4559789267334713e-4,1.1220437964682676e-4,9.877883683688795e-5,7.20893710991668e-5,8.868470372620293e-5,5.722190852007411e-5,1.907189419524775e-4,1.1821666186012661e-4,4876703,0.09469873217889874,-0.1846068338097647,0.029970658318708786,0.22939444897488936,0.09223349219410305,0.2784997609391755,38131.96816281635,0.4796472872817988,15.11133379194027,0,1.66,19.95505836132676,-10.240882709168817,0.025400471,0.012098338198019974,2883.259036951149,-0.0850122544705302,0.10265415174051423,0.4643692386114102,0.04223632237001053,0.026341772302540676,0.12469113678152126,-1.3536295287168738,0.0017720988165996368,0.21391784370413985,-0.9026547019004192,0.46838605029828967,-0.13588395981588383,42.505311310271914,46.68332690896124
Arkansas,0.7116226842629273,0.7002428861172147,0.7565330230122269,0.7822570247678622,0.7742956483833565,0.8287490426514124,0.8113506588001452,0.8690300957696399,0.8129977579398247,0.8566959544296436,3.83275958846378e-4,4.0248125878997274e-4,3.579958549597084e-4,3.115285536947948e-4,4.0860986339269565e-4,3.1892221822009463e-4,5.348982642248271e-4,4.0464657371067764e-4,9.505888071081677e-4,8.144025514148306e-4,0.7237905685588527,0.6976272112840229,0.7699145106879272,0.7726176578158159,0.7572801281584558,0.8073596634350234,0.810173455843148,0.8365932778717935,0.8135833711408491,0.9498753442576473,6.505468075851164e-4,6.903792427797772e-4,9.89884356598504e-4,8.771141424942698e-4,0.0034166361990631416,0.0024042579350959077,0.006560211313486112,0.004737539015384485,0.005608502990408574,7.432636532036226e-4,0.6827219020299179,0.7185597470974471,0.7452216362960373,0.7891396418673472,0.7759307784156794,0.8350852953575959,0.8111901797744776,0.8703626925802276,0.8133267122010386,0.8564977889166147,0.0012707332621913914,0.001120900744914774,6.439692989748626e-4,5.502059702427319e-4,4.6491776723190645e-4,3.681677358570931e-4,5.571088331495794e-4,4.2473806651171364e-4,9.749678542510489e-4,8.334994197674904e-4,2846721,-0.18741838667285313,0.7397013521655083,0.14597742371849978,0.17282807721601554,0.03876040179824781,0.37947382984090466,31200.725553878656,0.4659276260292175,11.546252274371426,0,1,17.22865590967217,-4.105290491233472,0.008640434794371215,0.01684837857721971,3107.591113300257,-0.041150190882547684,0.1955775566562828,0.39948710310112934,0.016032480879574693,0.014619978564016695,0.026320832166089405,-0.5587654495158526,0.001992305687233273,0.22794802024804328,0.2523769657610036,-1.337516142591276,0.24921077368722816,38.53783334992505,44.655814376050905
California,0.7196341966311997,0.703443359885198,0.7555716209118052,0.7527391313110863,0.768468891515399,0.7892064541869619,0.7853342947218264,0.8187660457426998,0.8066620141161713,0.8338122449043083,6.46032012967843e-5,6.177756922779417e-5,4.6775028299386e-5,4.470698826753964e-5,4.28424832188184e-5,3.7841125444961404e-5,4.184129842924492e-5,3.472190735591101e-5,5.0531336523938925e-5,3.902818539733843e-5,0.712269966286035,0.6866342815440817,0.7424294416469274,0.7298048775490317,0.7620592074793476,0.7598933150460676,0.7812595334201641,0.7785250535036475,0.7811774078724916,0.7884755819152722,1.005594240990636e-4,9.891958356097112e-5,1.1482235563641965e-4,1.1342181884731283e-4,1.7167285294954513e-4,1.6733978744571347e-4,3.713215242376101e-4,3.4503467188183313e-4,6.624546516565849e-4,6.228458893507362e-4,0.7325045376095143,0.7319121853838596,0.7670219599311463,0.7727336204795785,0.7715926275692825,0.8019278744042162,0.7863784721016768,0.8254582259377515,0.8083956713183097,0.836698556282144,1.6251724415458518e-4,1.6821691906107166e-4,8.175436281601885e-5,7.766105076129578e-5,5.655729029532682e-5,4.9438072526170125e-5,4.6063292003568714e-5,3.819092708576856e-5,5.2134553200769894e-5,4.063889573570895e-5,34177560,-0.021215403990979407,-0.15442337102146134,0.06395208048299468,0.22370145487882315,0.08816441748727881,0.2574101714107446,41085.26988489749,0.5268868621913846,18.110139874095037,0,6.3,23.94222497358266,-16.38910671412241,-0.018803382729709384,0.009414009268490616,3896.5503822518117,-0.008272357754004252,0.1300246248142785,0.3313693922630208,0.020134292793060265,0.02489709622294034,0.260749136799841,-1.060659570282831,0.0038065326990083465,0.20236625723730042,-0.5643156452630036,0.3309646040550977,-0.4529471025352134,46.14959282467701,47.94433651261594
Colorado,0.7049151915039341,0.7117744748547867,0.7364034351399026,0.7762380215531174,0.7537927624199381,0.8085211640870668,0.7763482399629017,0.8476966054054137,0.79375484107928,0.840462032296174,5.512506043107218e-4,5.205084989217442e-4,3.415964639856146e-4,2.9175124130450397e-4,3.1523579134366955e-4,1.9943172721928102e-4,2.706022300836333e-4,1.92977686496097e-4,4.6178404275415506e-4,3.291780100882711e-4,0.7138626131069851,0.7138487040400238,0.7373212596283085,0.7722470295410526,0.773185029933539,0.7852519773222852,0.7641456712683062,0.8334892180859753,0.7723419815492798,0.836992435587215,6.377412704396315e-4,5.578089497548043e-4,6.168750769984623e-4,4.694406198671017e-4,9.64562347076936e-4,8.341584082296678e-4,0.0015689756381985353,0.0012310195268545863,0.002837885108930778,0.00143147744796647,0.6825090775640823,0.708678028299766,0.737788650859531,0.7805123784086566,0.7471981151993211,0.8145801026085181,0.7769855942204472,0.8490321462950228,0.7944882363096722,0.840689051187967,0.0011391322692138536,0.0011752968122254075,5.761330824439898e-4,4.691035799225996e-4,3.520326299850539e-4,2.399708373194273e-4,2.8511126041140197e-4,2.017311391842305e-4,4.954157576192352e-4,3.4305662671318585e-4,4256953,-0.018268831952996008,0.04112058657909936,0.03718645768624976,0.15594542656844046,0.09095102507879095,0.3046223477638113,42064.25424057395,0.4298260340822861,15.208017928916984,1.4285715,0,19.36500039257948,-2.540865013445296,-0.012612529,0.016083676613198962,4644.927970638719,-0.028523829300452937,0.09212065004606206,0.5260409007439073,0.027712116064696483,0.026134432121088624,0.08651612371114245,0.20143229057505915,0.0015229888596872295,0.18773124729747545,-0.8308099506113974,0.42507432907628717,-0.8546429585676281,42.384174875161676,48.23163737278098
Connecticut,0.7680280047,0.6979800438,0.8210414075,0.7705423544,0.8445714286,0.7964677396,0.866266432,0.8508844953,0.8839500766,0.8786877862,4.1577827e-5,5.130296999999999e-5,2.6112033e-5,3.2070893e-5,1.8752933e-5,2.3088857999999997e-5,1.1991398e-5,1.3202921000000001e-5,7.49e-6,8e-6,0.7653387613,0.6908602151,0.8321559762999999,0.7647924639,0.8511957484,0.7759127151,0.8711151737,0.8217391304,0.8647058824,0.843575419,5.2223128e-5,6.3791034e-5,3.9466631e-5,5.2954063e-5,5.6094574000000006e-5,7.2963565e-5,1.0262663e-4,1.2737734e-4,2.2939141e-4,2.4572798e-4,0.7789598109000001,0.729303548,0.8022030650999998,0.7797731569,0.8414171236,0.8070288918,0.8656472511,0.8548463356999999,0.8846941096,0.8801627034,2.0352415e-4,0.00025942165000000003,7.5992961e-5,8.1156417e-5,2.8138833e-5,3.3577675e-5,1.3575591000000001e-5,1.4667149e-5,7.73e-6,8.25e-6,3405565,0.050304253,-0.10504698,0.08679059099999999,0.2685782,0.09660165800000002,0.30783784,53281.223,0.49035000999999995,21.68,0,0,14.88775202,-4.9925671,0,0.0082218368,9746.7021,-0.084323585,0.14816214,0.47363999,0.01424668153,0.01612889491,0.10863601,0.492688861,0.0018816296,0.21730803,-0.33692199000000006,0.6159085,-0.04283143999999999,48.835571,48.117649
Delaware,0.7230289899428826,0.6492372120099011,0.7893764991587775,0.7358144987903841,0.8112819766589451,0.8159020250297587,0.8534037035142856,0.8596341726909451,0.8682572729761218,0.8800879944401214,2.023848341558092e-4,2.3104565082909058e-4,1.3370531339355524e-4,1.5569212379055764e-4,1.2277898365334452e-4,1.1746850384552675e-4,8.757043663166404e-5,8.353583763945254e-5,9.428680892705206e-5,8.453862543102435e-5,0.7375351052610509,0.6366206723309427,0.8077243547704662,0.731370907428766,0.8247109884541762,0.7794585846248832,0.8505184804683552,0.8790004536362991,0.8668594492935922,0.8750206904573123,2.3804120938447664e-4,2.8908230439044945e-4,1.97589927337689e-4,2.550069128775165e-4,4.224537735664296e-4,4.5089660066626033e-4,0.001264452396631623,7.14145006494293e-4,0.002819385617453498,0.0018541990831760582,0.6579756663729492,0.7103558861195776,0.7598069374244155,0.7504873551120423,0.8031351096187462,0.832693735297287,0.8527201163908569,0.8583548579419349,0.8683566654396051,0.880295679402468,0.0013044637792597065,0.001123921195089894,4.0842407250543894e-4,3.993664924480417e-4,1.8340972594564522e-4,1.606587929136945e-4,9.590928854565596e-5,9.369209532649039e-5,9.752234871736983e-5,8.841011020922978e-5,1025485,-0.3889448597725272,-0.3949540915294129,0.18444540358501588,0.1792757341256186,0.05632856753976606,0.29675793818632157,41098.293379521885,0.43648386094384606,12.146867640189763,0,0.75,17.26349693984236,0.6059195452561472,0.0035014517409810188,0.014627224692669322,4731.809271042385,0.018578211335300857,0.1318982909442849,0.5560755131524596,0.02731000453219378,0.0190524483530114,0.050397478043811464,-0.26069853991691333,0.004034188718528696,0.24059215857327995,0.6353868267550185,-0.7442011053061957,0.596261876418953,43.87341915482918,43.440896764548484
District of Columbia,0.7633507853,0.6657655918,0.8023042039,0.745831092,0.8200226387,0.8051679587,0.8377120053,0.8540038509,0.8599891127,0.8775146972,3.1526415e-5,4.2966167e-5,1.9440147e-5,2.5493151e-5,1.8561881e-5,2.0267767e-5,1.5070458e-5,1.4121788999999999e-5,6.55e-6,5.8e-6,0.7610229277,0.6448233861,0.7981383464,0.7293928428,0.8243314106,0.7718317359,0.8453125,0.8091644205,0.8484513274,0.8299246502,4.0094143e-5,5.5792007e-5,2.9405644e-5,3.9682131e-5,3.7967788e-5,4.6886984e-5,6.8103793e-5,8.324386e-5,1.4223636e-4,1.5193727e-4,0.7721943049,0.7458100559,0.8108208955,0.7790414297,0.816050278,0.8365963855,0.8356569497,0.8659305994,0.8605862819,0.880024983,1.4732852e-4,1.7651528e-4,5.7235215e-5,6.9917092e-5,3.6285284e-5,3.4312969e-5,1.934015e-5,1.6646802e-5,6.87e-6,5.99e-6,4632415,0.16311553,0.11704389000000001,0.26696572,0.27131253,0.11505075000000001,0.16001946,53705.695,0.4557399999999999,16.054001,2.3809524,2.5,18.8788211,-6.8822513,-0.0018630888,0.0086348047,10316.567,-0.049678326,0.039349776,0.45410999999999996,0.02554088958,0.030260242230000005,0.1773816,-0.7480562366,0.0012368374,0.21452756,1.4570076,1.2389742,-0.11914857,50.273071,45.944153
Florida,0.7205660398111221,0.6575577732616117,0.7610561217577211,0.7399375818950498,0.7912960970869576,0.8009693195353792,0.8177383009469762,0.8397901782976525,0.8247597408932394,0.8536573989674207,9.189581567555264e-5,1.0177174818535538e-4,7.683313753441212e-5,7.771510565007274e-5,8.40735440446835e-5,7.495097468878703e-5,1.0054947430797177e-4,8.062093892689584e-5,1.408992171017575e-4,1.1150823371952132e-4,0.72211440517451,0.6391130935804712,0.767091631692348,0.7109734900956168,0.7941002105728016,0.7600101523884001,0.8027290254665679,0.8030005058482502,0.814810654428788,0.8071124735880344,1.2616452648963242e-4,1.4522360977079572e-4,1.558607858950734e-4,1.736048471655102e-4,3.898213804545882e-4,4.2585482065093786e-4,0.00136479269124375,0.0012496302596571483,0.002365700823326768,0.00202444700622946,0.7165807256646193,0.7085761597767928,0.7560695876596334,0.77137122996921,0.7926897302485387,0.8153144677724647,0.819784943734971,0.8443509544898921,0.8258009206837247,0.8562704958178071,3.462341738768768e-4,3.388897904708638e-4,1.5720663460423118e-4,1.4270117702899011e-4,1.0846175597328171e-4,9.223136939857713e-5,1.0920636727417792e-4,8.638506959359808e-5,1.4675080160739026e-4,1.1668518252780544e-4,16036324,-0.08364087417455085,-0.21642234189813203,0.14192635159311429,0.234114562220623,0.07021345667623459,0.25106843689870756,41382.79795248525,0.548648394047576,15.997235048269792,0,0,19.43224233933811,-2.834717097785642,0.0032197385873023957,0.00885489726295169,5330.101487018765,0.04316461167647604,0.07294710957736586,0.3747443204475714,0.03949184364339569,0.02764218283473987,0.16661834057151284,-1.518223544347322,0.0022244467,0.24517919723661544,0.21204211262491118,-0.27527828529928927,0.7221650637951085,43.45569147831261,42.97794238737581
Georgia,0.7081850884249625,0.6251036616584102,0.7490596882069601,0.713224429225794,0.7719543746606145,0.7824886872025176,0.8007854844346319,0.8329354621403489,0.8189579598269534,0.8519565942635787,1.8646333238555747e-4,2.055194405961687e-4,2.019189096927958e-4,2.0662585194022463e-4,2.505183484295836e-4,2.244188926227877e-4,2.8434384920401976e-4,2.2699519585044002e-4,3.511879132966054e-4,3.4671933196293896e-4,0.7153872875248599,0.6147436651080421,0.7608613514849953,0.7001106633415072,0.7843498989981117,0.7423731524984271,0.7990628426718526,0.790810290350428,0.784756719268461,0.801990881360464,2.480690341075312e-4,2.8202268606758717e-4,3.6324101836024105e-4,3.9357702062310423e-4,0.0010506567038771708,0.0011240096887641861,0.0022146848364570874,0.0023941796250806853,0.0035767763221277106,0.00360449090751435,0.6815519649884596,0.6706768174252677,0.7331061746287008,0.73589018266179,0.7641462713909473,0.8005211183446405,0.8017965751900216,0.8375781026057124,0.8199528341433829,0.8534721768307006,9.797681276912178e-4,9.542180046183473e-4,5.066176750840708e-4,4.691408073458535e-4,3.294091705114578e-4,2.7894927037647627e-4,3.0164935433822133e-4,2.3893981554909613e-4,3.6506020240252546e-4,3.60568807573569e-4,8558239,-0.1874903041140092,-0.21405376315199673,0.28947310636003676,0.23254732262114577,0.07844804109069922,0.2606955024928014,37262.66230476562,0.5253742954048433,14.223790209202372,0,0,17.4851551019901,-6.934834377924467,0.02946965501862215,0.014634917578861891,5055.946026443041,-0.036271900714124866,0.15252537295684662,0.35070050737075353,0.024680778370460787,0.020872751973630827,0.06891846354258978,-1.4312725764814902,0.0022715385925858324,0.24798268286798722,1.6811044594322735,0.0028215147005873067,0.7991139283568003,38.85325911435413,39.31752658468267
Hawaii,0.7367135701110269,0.724209022908942,0.7717680290504891,0.8086221495490256,0.8173133809093094,0.8303977012256957,0.8409905978320726,0.8600583448687813,0.8515116482917373,0.8575490427155229,3.894462192158803e-4,3.94942926180257e-4,2.1540693644968333e-4,2.0129919938481448e-4,1.7887969919610215e-4,1.7492149713747084e-4,1.5862122999482146e-4,1.3857812215481162e-4,2.0414301226099078e-4,2.2490369424236486e-4,0.7425948673956484,0.7271915307922231,0.7811570137272137,0.8039690380070813,0.81385807279336,0.8137023387969551,0.7990742778271025,0.8449322873111815,0.8366591783350196,0.7381988048553976,6.366932639474156e-4,6.676939990962224e-4,4.6974577751867253e-4,4.5127439598509166e-4,7.769192727223353e-4,8.821409965363996e-4,0.0020955706135939224,0.0015636747972067216,0.0033751177724083824,0.004775796810410671,0.7271104837296445,0.7191619783822241,0.7625275805802219,0.8123091711303331,0.8194786774401475,0.8368785212090878,0.8452204623942852,0.8620100475700563,0.8528659408310855,0.861408205782589,0.001021164888153676,9.797756246865098e-4,4.045864570746581e-4,3.658233597439864e-4,2.3259674105494097e-4,2.2284578949795838e-4,1.7110125955366778e-4,1.5161289185841622e-4,2.0630260062993536e-4,2.3323631419875745e-4,1211537,0.09415013312789126,-0.14045021493734816,0.01719221159306526,0.12249081377888582,0.08145754995767028,0.27101305073330817,38823.152823264994,0.3982529760854353,9.121057915660439,0,1.05,18.31923687705597,-14.798788,0.018076327,0.014031763359297485,4046.737623680911,-0.12548773982364467,0.03532369667902837,0.2931493333075506,0.02897641590720064,0.02941882913757299,0.17517420214514287,0,0.001167946540771161,0.1816026641988152,-1.0298844059986942,0.10445921327168711,-1.0228576904950735,43.895396219673856,49.636488436919386
